train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
12556_2025-11-02,GAUR,2025-11-02 08:29,,2025-11-02 08:29,,,
12556_2025-11-02,ADSBYGOOGLEW,,,,,,
12556_2025-11-02,BASTI,2025-11-02 08:18,,2025-11-02 08:21,,,
12556_2025-11-02,KHALILABAD,2025-11-02 08:42,,2025-11-02 08:44,,,
12556_2025-11-02,GORAKHPUR,,,,,,
64612_2025-11-02,MANIKPUR,,,2025-11-02 02:20,,,
64612_2025-11-02,BAHILPURWA70,,,,,,
64612_2025-11-02,KHOH105KMHR,,,2025-11-02 02:53,,,
64612_2025-11-02,CHITRAKOT78K,2025-11-02 03:00,,2025-11-02 03:02,,,
64612_2025-11-02,SHIVRAMPUR85,2025-11-02 03:18,,2025-11-02 03:19,,,
64612_2025-11-02,BHARATKUP135,2025-11-02 03:26,,2025-11-02 03:27,,,
64612_2025-11-02,BADAUSA95KMH,2025-11-02 03:40,,2025-11-02 03:41,,,
64612_2025-11-02,ATARRA85KMHR,2025-11-02 03:51,,2025-11-02 03:53,,,
64612_2025-11-02,KHURHAND88KM,2025-11-02 04:13,,2025-11-02 04:14,,,
64612_2025-11-02,DINGWAHI85KM,2025-11-02 04:23,,2025-11-02 04:24,,,
64612_2025-11-02,BANDA66KMHR,2025-11-02 05:05,,2025-11-02 05:10,,,
64612_2025-11-02,KHAIRAR72KMH,2025-11-02 05:23,,2025-11-02 05:25,,,
64612_2025-11-02,MATAUNDH86KM,2025-11-02 05:34,,2025-11-02 05:35,,,
64612_2025-11-02,KABRAI105KMH,2025-11-02 05:51,,2025-11-02 05:52,,,
64612_2025-11-02,BARIPURA,,,,,,
64612_2025-11-02,MAHOBA12KMHR,2025-11-02 06:13,,2025-11-02 06:15,,,
64612_2025-11-02,CHARKHARIROA,2025-11-02 06:24,,2025-11-02 06:25,,,
64612_2025-11-02,KULPAHAR64KM,2025-11-02 06:35,,2025-11-02 06:36,,,
64612_2025-11-02,BELATAL95KMH,2025-11-02 06:47,,2025-11-02 06:48,,,
64612_2025-11-02,GHUTAI,,,,,,
64612_2025-11-02,HARPALPUR10K,2025-11-02 07:10,,2025-11-02 07:12,,,
64612_2025-11-02,RORA105KMHR,2025-11-02 07:24,,2025-11-02 07:25,,,
64612_2025-11-02,ADSBYGOOGLEW,,,,,,
64612_2025-11-02,MAURANIPUR,2025-11-02 07:36,,2025-11-02 07:38,,,
64612_2025-11-02,RANIPURROAD,2025-11-02 07:49,,2025-11-02 07:50,,,
64612_2025-11-02,TEHARKA,2025-11-02 08:20,,2025-11-02 08:21,,,
64612_2025-11-02,MAGARPUR,2025-11-02 08:34,,2025-11-02 08:35,,,
64612_2025-11-02,NIVARI,2025-11-02 08:41,,2025-11-02 08:42,,,
64612_2025-11-02,BARWASAGAR,2025-11-02 08:51,,2025-11-02 08:52,,,
64612_2025-11-02,ORCHHA,2025-11-02 09:12,,2025-11-02 09:13,,,
64612_2025-11-02,VIRANGANALAK,2025-11-02 10:05,,,,,
66324_2025-11-02,SHORANUR,,,,,,
66324_2025-11-02,PATTAMBI80KM,,,,,,
66324_2025-11-02,PALLIPPURAM1,,,,,,
66324_2025-11-02,KUTTIPPURAM7,2025-11-02 05:33,,2025-11-02 05:34,,,
66324_2025-11-02,TIRUNNAVAYA8,,,,,,
66324_2025-11-02,TIRUR108KMHR,,,,,,
66324_2025-11-02,TANUR109KMHR,,,,,,
66324_2025-11-02,PARPANANGADI,,,,,,
66324_2025-11-02,VALLIKUNNU,,,,,,
66324_2025-11-02,KADALUNDI95K,,,,,,
