u,v
CHITTAPUR70K,MALKHAIDROAD
MALKHAIDROAD,SEDAM81KMHR
SEDAM81KMHR,KURGUNTA75KM
KURGUNTA75KM,NAWANDGI95KM
NAWANDGI95KM,MANTATTI95KM
MANTATTI95KM,TANDUR84KMHR
TANDUR84KMHR,RUKMAPUR
RUKMAPUR,DHARUR86KMHR
DHARUR86KMHR,GODAMGURA
GODAMGURA,VIKARABAD57K
VIKARABAD57K,CHITGIDDA
CHITGIDDA,GULLAGUDA
GULLAGUDA,SHANKARPALLI
SHANKARPALLI,NAGALAPALLE9
NAGALAPALLE9,LINGAMPALLI
LINGAMPALLI,HAFIZPETA95K
HAFIZPETA95K,SANATNAGAR
SANATNAGAR,BEGAMPET
BEGAMPET,SECUNDERABAD
SECUNDERABAD,SITAFALMANDI
SITAFALMANDI,ARTSCOLLEGE
ARTSCOLLEGE,JAMAIOSMANIA
JAMAIOSMANIA,VIDYANAGAR
VIDYANAGAR,KACHEGUDA8KM
KACHEGUDA8KM,ADSBYGOOGLEW
PUNE,DAUNDCHORDLI
DAUNDCHORDLI,AHILYANAGAR1
AHILYANAGAR1,KOPARGAON143
KOPARGAON143,MANMAD115KMH
MANMAD115KMH,JALGAON137KM
JALGAON137KM,BHUSAVAL99KM
BHUSAVAL99KM,SHEGAON151KM
SHEGAON151KM,AKOLA149KMHR
AKOLA149KMHR,BADNERA139KM
BADNERA139KM,WARDHA153KMH
WARDHA153KMH,AJNI88KMHR
AJNI88KMHR,ADSBYGOOGLEW
ANANDVIHARTE,SAHIBABAD30K
SAHIBABAD30K,GHAZIABAD12K
GHAZIABAD12K,PILKHUA78KMH
PILKHUA78KMH,HAPUR87KMHR
HAPUR87KMHR,GARHMUKTESAR
GARHMUKTESAR,GAJRAULA90KM
GAJRAULA90KM,AMROHA123KMH
AMROHA123KMH,MORADABAD81K
MORADABAD81K,RAMPUR70KMHR
RAMPUR70KMHR,BAREILLYNR11
BAREILLYNR11,BILPUR119KMH
BILPUR119KMH,SHAHJEHANPUR
SHAHJEHANPUR,ROZA28KMHR
ROZA28KMHR,SITAPURCITY1
SITAPURCITY1,SITAPUR26KMH
SITAPUR26KMH,BISWAN108KMH
BISWAN108KMH,MAHMUDABADAV
MAHMUDABADAV,TAHSILFATEHP
TAHSILFATEHP,BURHWAL95KMH
BURHWAL95KMH,JARWALROAD60
JARWALROAD60,COLONELGANJ6
COLONELGANJ6,GONDA86KMHR
GONDA86KMHR,MANKAPUR69KM
MANKAPUR69KM,MASKANWA95KM
MASKANWA95KM,BABHNAN109KM
BABHNAN109KM,GAUR68KMHR
GAUR68KMHR,BASTI110KMHR
BASTI110KMHR,KHALILABAD11
KHALILABAD11,GORAKHPUR58K
GORAKHPUR58K,PIPRAICH40KM
PIPRAICH40KM,KAPTANGANJ36
KAPTANGANJ36,GHUGHULI88KM
GHUGHULI88KM,SISWABAZAR95
SISWABAZAR95,KHADA112KMHR
KHADA112KMHR,PANIYAHAWA83
PANIYAHAWA83,BAGAHA87KMHR
BAGAHA87KMHR,BHAIROGANJ67
BHAIROGANJ67,HARINAGAR59K
HARINAGAR59K,NARKATIAGANJ
NARKATIAGANJ,CHANPATIA95K
CHANPATIA95K,BETTIAH80KMH
BETTIAH80KMH,MAJHOWALIA42
MAJHOWALIA42,SAGAULI95KMH
SAGAULI95KMH,RAMGARHWA55K
RAMGARHWA55K,RAXAUL69KMHR
RAXAUL69KMHR,ADSBYGOOGLEW
SIRSA,BAJEKAN
BAJEKAN,SUCHANKOTLI1
SUCHANKOTLI1,DING95KMHR
DING95KMHR,BHATTU117KMH
BHATTU117KMH,MANDIADAMPUR
MANDIADAMPUR,JAKHODKHERA1
JAKHODKHERA1,HISAR102KMHR
HISAR102KMHR,RAIPURHARIYA
RAIPURHARIYA,DHANSU65KMHR
DHANSU65KMHR,BARWALA107KM
BARWALA107KM,DAULATPURHRY
DAULATPURHRY,UKLANA26KMHR
UKLANA26KMHR,GAJUWALA
GAJUWALA,PIRTHALALLAU
PIRTHALALLAU,JMLPRSHAIKHA
JMLPRSHAIKHA,KUDNI
KUDNI,JAKHAL24KMHR
JAKHAL24KMHR,GURNAY68KMHR
GURNAY68KMHR,LEHRAGAGA84K
LEHRAGAGA84K,GOVINDGARHKH
GOVINDGARHKH,CHAJLI28KMHR
CHAJLI28KMHR,SUNAMUDHAMSI
SUNAMUDHAMSI,BHARUR
BHARUR,SANGRUR24KMH
SANGRUR24KMH,BAHADURSINGH
BAHADURSINGH,DHURI48KMHR
DHURI48KMHR,HIMMATANA72K
HIMMATANA72K,MALERKOTLA83
MALERKOTLA83,KUP86KMHR
KUP86KMHR,RHRAGHALUGHR
RHRAGHALUGHR,AHMADGARH9KM
AHMADGARH9KM,KILARAIPUR77
KILARAIPUR77,ADSBYGOOGLEW
ADSBYGOOGLEW,GILL
GILL,LUDHIANA
PRAYAGRAJ,FATEHPUR4KMH
FATEHPUR4KMH,KANPURCENTRA
KANPURCENTRA,JHINJHAK98KM
JHINJHAK98KM,ETAWAH130KMH
ETAWAH130KMH,BAH93KMHR
BAH93KMHR,FATEHABAD100
FATEHABAD100,AGRACANTT82K
AGRACANTT82K,MATHURA67KMH
MATHURA67KMH,GOVERDHAN59K
GOVERDHAN59K,DEEG110KMHR
DEEG110KMHR,BRIJNAGAR127
